"             Parameter / Period","                    GROSS REVENUE","VAT Collected","Sales","Reimbursments ","Promo Discounts","Refunds","Liquidations","                                 REVENUE","Cost of Inventory Sold","CM1","CM1, %","Amazon Fees","CM2","CM2, %","Amazon Promotion","CM3","CM3, %","Expenses","                                     EBITDA","Margin"
"2025-02-01 00:00:00",1124351.32,7372.37,1116978.95,55942.92,-102875.98,-85485.89,2156.78,1022700.43,-226909.53,795790.9,0.7781,-422474.14,373316.76,0.365,-213582.6,159734.16,0.1561,-21265.27,138468.89,0.1353
"2025-03-01 00:00:00",1428579.29,9030.38,1419548.91,66001.46,-120583.56,-104004.57,3511.54,1264473.78,-262380.43,1002093.35,0.7924,-540637.85,461455.5,0.3649,-287203.62,174251.88,0.1378,-19581.67,154670.21,0.1223
"2025-04-01 00:00:00",1316041.42,8212.32,1307829.1,62387.15,-68703.12,-103576.28,2768.31,1200705.16,-219938.86,980766.3,0.8168,-486248.79,494517.51,0.4118,-295355.87,199161.64,0.1658,-25457.62,173704.02,0.1446
"2025-05-01 00:00:00",1428062.14,8305.42,1419756.72,75332.1,-82510.65,-107922.07,2733.38,1307389.48,-264644.95,1042744.53,0.7975,-534985.63,507758.9,0.3883,-313872.53,193886.37,0.1483,-34149.91,159736.46,0.1221
"2025-06-01 00:00:00",1425960.18,6664.52,1419295.66,73489.34,-106898.55,-116487.42,3417.62,1272816.65,-261769.86,1011046.79,0.7943,-513245.89,497800.9,0.3911,-303053.15,194747.75,0.153,-26956.12,167791.63,0.1318
"2025-07-01 00:00:00",1519840.77,12556.66,1507284.11,80372.78,-115299.77,-127395.84,4633.91,1349595.19,-302728.63,1046866.56,0.7756,-552477.33,494389.23,0.3663,-293119.21,201270.02,0.1491,-30838.31,170431.71,0.1262
"2025-08-01 00:00:00",1511877.6,11329.91,1500547.69,78735.98,-135936.93,-125967.5,3475.69,1350211.38,-309128.49,1041082.89,0.771,-545545.23,495537.66,0.367,-318345.58,177192.08,0.1312,-24025.58,153166.5,0.1134
"2025-09-01 00:00:00",1399486.55,17324.43,1382162.12,72883.51,-116373.11,-116014.66,2982.53,1235861.48,-257312.57,978548.91,0.7917,-503185.43,475363.48,0.3846,-312716.98,162646.5,0.1316,-22440.61,140205.89,0.1134
"2025-10-01 00:00:00",1527095.98,21739.85,1505356.13,69322.42,-118220.22,-120185.74,3847.49,1340120.08,-264568.27,1075551.81,0.8025,-565805.6,509746.21,0.3803,-326220.7,183525.51,0.1369,-26188.41,157337.1,0.1174
"2025-11-01 00:00:00",1751379.91,21738.58,1729641.33,76406.37,-105280.43,-126736.43,4205.25,1578236.09,-303447.6,1274788.49,0.8077,-690144.2,584644.29,0.3704,-411449.39,173194.9,0.1097,-31091.39,142103.51,0.09
"2025-12-01 00:00:00",2006486.88,32344.24,1974142.64,82861.72,-140322.86,-140863.39,4101.31,1779919.42,-324073.71,1455845.71,0.8179,-773185.64,682660.07,0.3835,-416214.62,266445.45,0.1496,-35743.73,230701.72,0.1296
"2026-01-01 00:00:00",1943871.51,34018.63,1909852.88,87250.16,-128594.32,-169760.77,4138.88,1702886.83,-277676.77,1425210.06,0.8369,-724756.43,700453.63,0.4113,-446411.93,254041.7,0.1491,-23255.48,230786.22,0.1355
